ID;formula_ID;sequence;component_name;component_description;component_type;calculation_type;fixed_value;percentage_value;min_value;max_value;lookup_index_ID;index_offset_days;missing_quote_policy;use_average;average_days;apply_to;component_currency_currency_code;exchange_rate_type;condition_field;condition_operator;condition_value;is_active;created_at;created_by;modified_at;modified_by
550e8400-e29b-41d4-a716-446655446201;550e8400-e29b-41d4-a716-446655446101;1;Base Index;Platts MOPS Singapore, published quote at N+0;BASE_INDEX;LOOKUP;;;;;550e8400-e29b-41d4-a716-446655446001;0;PRIOR_PUBLISHED;false;5;BASE;;;;;;true;2024-12-15T10:00:00Z;pricing.analyst@airline.com;2024-12-15T10:00:00Z;pricing.analyst@airline.com
550e8400-e29b-41d4-a716-446655446202;550e8400-e29b-41d4-a716-446655446101;2;Premium;Supplier premium;PREMIUM;FIXED;2.5000;;;;;0;PRIOR_PUBLISHED;false;5;CUMULATIVE;;;;;;true;2024-12-15T10:00:00Z;pricing.analyst@airline.com;2024-12-15T10:00:00Z;pricing.analyst@airline.com
550e8400-e29b-41d4-a716-446655446203;550e8400-e29b-41d4-a716-446655446101;3;Into-Plane Fee;Airport into-plane service fee;INTO_PLANE;FIXED;8.0000;;;;;0;PRIOR_PUBLISHED;false;5;CUMULATIVE;;;;;;true;2024-12-15T10:00:00Z;pricing.analyst@airline.com;2024-12-15T10:00:00Z;pricing.analyst@airline.com
550e8400-e29b-41d4-a716-446655446204;550e8400-e29b-41d4-a716-446655446101;4;Handling Fee;Handling charge on the running total;HANDLING;PERCENTAGE;;1.5000;;;;0;PRIOR_PUBLISHED;false;5;CUMULATIVE;;;;;;true;2024-12-15T10:00:00Z;pricing.analyst@airline.com;2024-12-15T10:00:00Z;pricing.analyst@airline.com
550e8400-e29b-41d4-a716-446655446205;550e8400-e29b-41d4-a716-446655446101;5;Excise Duty;Singapore excise duty. Carried in the breakdown and NOT priced, PRC403;EXCISE_DUTY;FIXED;0.5000;;;;;0;PRIOR_PUBLISHED;false;5;CUMULATIVE;;;;;;true;2024-12-15T10:00:00Z;pricing.analyst@airline.com;2024-12-15T10:00:00Z;pricing.analyst@airline.com
550e8400-e29b-41d4-a716-446655446206;550e8400-e29b-41d4-a716-446655446102;1;Base Index;Platts FOB Rotterdam, published quote at N+0;BASE_INDEX;LOOKUP;;;;;550e8400-e29b-41d4-a716-446655446002;0;PRIOR_PUBLISHED;false;5;BASE;;;;;;true;2024-12-15T10:00:00Z;pricing.analyst@airline.com;2024-12-15T10:00:00Z;pricing.analyst@airline.com
550e8400-e29b-41d4-a716-446655446207;550e8400-e29b-41d4-a716-446655446102;2;Premium;European supplier premium;PREMIUM;FIXED;3.0000;;;;;0;PRIOR_PUBLISHED;false;5;CUMULATIVE;;;;;;true;2024-12-15T10:00:00Z;pricing.analyst@airline.com;2024-12-15T10:00:00Z;pricing.analyst@airline.com
550e8400-e29b-41d4-a716-446655446208;550e8400-e29b-41d4-a716-446655446102;3;Into-Plane Fee;Rotterdam airport into-plane fee;INTO_PLANE;FIXED;6.5000;;;;;0;PRIOR_PUBLISHED;false;5;CUMULATIVE;;;;;;true;2024-12-15T10:00:00Z;pricing.analyst@airline.com;2024-12-15T10:00:00Z;pricing.analyst@airline.com
550e8400-e29b-41d4-a716-446655446213;550e8400-e29b-41d4-a716-446655446102;4;Index-Linked Levy;One percent of the base index, floored at 0.7700 and capped at 0.7800;CUSTOM;PERCENTAGE;;1.0000;0.7700;0.7800;;0;PRIOR_PUBLISHED;false;5;BASE;;;;;;true;2024-12-15T10:00:00Z;pricing.analyst@airline.com;2024-12-15T10:00:00Z;pricing.analyst@airline.com
550e8400-e29b-41d4-a716-446655446214;550e8400-e29b-41d4-a716-446655446102;5;Provisional Proxy Adjustment;Applies only while the price is PROVISIONAL, PRC408;PREMIUM;FIXED;0.2500;;;;;0;PRIOR_PUBLISHED;false;5;CUMULATIVE;;;priceStatus;EQ;PROVISIONAL;true;2024-12-15T10:00:00Z;pricing.analyst@airline.com;2024-12-15T10:00:00Z;pricing.analyst@airline.com
