ID;order_ID;milestone_type;milestone_sequence;milestone_timestamp;performed_by;is_system_generated;notes;external_reference;created_at;created_by;modified_at;modified_by
d1e2f3a4-8001-4000-8000-000000000001;f6a7b8c9-6666-4000-8000-000000000001;Created;1;2026-01-15T08:00:00Z;station.coordinator@airline.com;false;Order created for PR101 MNL-CEB;;2026-01-15T08:00:00Z;SYSTEM;2026-01-15T08:00:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000002;f6a7b8c9-6666-4000-8000-000000000001;Submitted;2;2026-01-15T09:00:00Z;station.coordinator@airline.com;false;Submitted for approval;;2026-01-15T09:00:00Z;SYSTEM;2026-01-15T09:00:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000003;f6a7b8c9-6666-4000-8000-000000000001;Approved;3;2026-01-15T10:30:00Z;ops.manager@airline.com;false;Approved by operations;;2026-01-15T10:30:00Z;SYSTEM;2026-01-15T10:30:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000004;f6a7b8c9-6666-4000-8000-000000000001;Dispatched;4;2026-01-15T11:00:00Z;SYSTEM;true;Dispatched via Shell Skypad API;SHL-TXN-20260117-001;2026-01-15T11:00:00Z;SYSTEM;2026-01-15T11:00:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000005;f6a7b8c9-6666-4000-8000-000000000001;Acknowledged;5;2026-01-15T11:05:00Z;SYSTEM;true;Supplier acknowledged order;SHL-ACK-20260117-001;2026-01-15T11:05:00Z;SYSTEM;2026-01-15T11:05:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000006;f6a7b8c9-6666-4000-8000-000000000001;InProgress;6;2026-01-17T05:00:00Z;station.coordinator@airline.com;false;Fuel truck dispatched to aircraft;;2026-01-17T05:00:00Z;SYSTEM;2026-01-17T05:00:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000007;f6a7b8c9-6666-4000-8000-000000000001;Completed;7;2026-01-17T05:45:00Z;station.coordinator@airline.com;false;Delivery completed - ePOD signed;;2026-01-17T05:45:00Z;SYSTEM;2026-01-17T05:45:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000008;f6a7b8c9-6666-4000-8000-000000000001;POCreated;8;2026-01-17T06:00:00Z;SYSTEM;true;S/4HANA PO auto-created;4500001001;2026-01-17T06:00:00Z;SYSTEM;2026-01-17T06:00:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000009;f6a7b8c9-6666-4000-8000-000000000001;GRPosted;9;2026-01-17T06:15:00Z;SYSTEM;true;S/4HANA GR auto-posted;;2026-01-17T06:15:00Z;SYSTEM;2026-01-17T06:15:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000010;f6a7b8c9-6666-4000-8000-000000000002;Created;1;2026-01-16T10:00:00Z;station.cebu@airline.com;false;Order created for PR102 CEB-MNL;;2026-01-16T10:00:00Z;SYSTEM;2026-01-16T10:00:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000011;f6a7b8c9-6666-4000-8000-000000000002;Submitted;2;2026-01-16T10:30:00Z;station.cebu@airline.com;false;Submitted for approval;;2026-01-16T10:30:00Z;SYSTEM;2026-01-16T10:30:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000012;f6a7b8c9-6666-4000-8000-000000000002;Approved;3;2026-01-16T14:00:00Z;ops.manager@airline.com;false;Approved;;2026-01-16T14:00:00Z;SYSTEM;2026-01-16T14:00:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000013;f6a7b8c9-6666-4000-8000-000000000002;Dispatched;4;2026-01-16T14:30:00Z;SYSTEM;true;Dispatched via Petron API;PTR-TXN-20260117-001;2026-01-16T14:30:00Z;SYSTEM;2026-01-16T14:30:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000014;f6a7b8c9-6666-4000-8000-000000000002;Acknowledged;5;2026-01-16T14:35:00Z;SYSTEM;true;Supplier acknowledged;PTR-ACK-20260117-001;2026-01-16T14:35:00Z;SYSTEM;2026-01-16T14:35:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000015;f6a7b8c9-6666-4000-8000-000000000002;InProgress;6;2026-01-17T07:30:00Z;station.cebu@airline.com;false;Fueling in progress;;2026-01-17T07:30:00Z;SYSTEM;2026-01-17T07:30:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000016;f6a7b8c9-6666-4000-8000-000000000003;Created;1;2026-01-15T08:30:00Z;station.coordinator@airline.com;false;Long haul order created;;2026-01-15T08:30:00Z;SYSTEM;2026-01-15T08:30:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000017;f6a7b8c9-6666-4000-8000-000000000003;Submitted;2;2026-01-15T09:30:00Z;station.coordinator@airline.com;false;Submitted;;2026-01-15T09:30:00Z;SYSTEM;2026-01-15T09:30:00Z;SYSTEM
d1e2f3a4-8001-4000-8000-000000000018;f6a7b8c9-6666-4000-8000-000000000003;Approved;3;2026-01-16T14:00:00Z;ops.manager@airline.com;false;Confirmed by ops manager;;2026-01-16T14:00:00Z;SYSTEM;2026-01-16T14:00:00Z;SYSTEM
