ID;check_code;check_name;check_description;check_group;default_severity;tolerance_rule_code;is_bypassable;bypass_scope;is_implemented;not_implemented_reason;valid_from;valid_to;is_active;created_at;created_by;modified_at;modified_by
21a00006-0000-4000-8000-000000000001;INV459;Mandatory header field missing;A header field the document cannot be processed without is absent;CAPTURE;HARD_ERROR;;false;;true;;2025-01-01;;true;2026-04-15T08:00:00Z;admin@airline.com;2026-04-15T08:00:00Z;admin@airline.com
21a00006-0000-4000-8000-000000000002;INV460;Stated line count differs from lines received;The document states a line count that does not match what was captured;CAPTURE;HARD_ERROR;;false;;true;;2025-01-01;;true;2026-04-15T08:00:00Z;admin@airline.com;2026-04-15T08:00:00Z;admin@airline.com
21a00006-0000-4000-8000-000000000003;INV461;Invoice date in the future;The invoice is dated after today;CAPTURE;SOFT_ERROR;;true;InvoiceVerify;true;;2025-01-01;;true;2026-04-15T08:00:00Z;admin@airline.com;2026-04-15T08:00:00Z;admin@airline.com
21a00006-0000-4000-8000-000000000004;INV450;Ticket number missing on the line;The line states no ticket number, so nothing resolves the PO;RESOLUTION;HARD_ERROR;;false;;true;;2025-01-01;;true;2026-04-15T08:00:00Z;admin@airline.com;2026-04-15T08:00:00Z;admin@airline.com
21a00006-0000-4000-8000-000000000005;INV462;Ticket number not found;The stated ticket is not in FuelSphere, or matches more than one;RESOLUTION;HARD_ERROR;;false;;true;;2025-01-01;;true;2026-04-15T08:00:00Z;admin@airline.com;2026-04-15T08:00:00Z;admin@airline.com
21a00006-0000-4000-8000-000000000006;INV463;Ticket has no order;The ticket exists and carries no order. There is no PO to invoice against;RESOLUTION;HARD_ERROR;;false;;true;;2025-01-01;;true;2026-04-15T08:00:00Z;admin@airline.com;2026-04-15T08:00:00Z;admin@airline.com
21a00006-0000-4000-8000-000000000007;INV464;Order has no PO number;The resolved order was never given an s4_po_number;RESOLUTION;HARD_ERROR;;false;;true;;2025-01-01;;true;2026-04-15T08:00:00Z;admin@airline.com;2026-04-15T08:00:00Z;admin@airline.com
21a00006-0000-4000-8000-000000000008;INV465;Stated PO differs from resolved PO;The invoice quotes a PO other than the one the ticket resolves to;RESOLUTION;SOFT_ERROR;;true;InvoiceVerify;true;;2025-01-01;;true;2026-04-15T08:00:00Z;admin@airline.com;2026-04-15T08:00:00Z;admin@airline.com
21a00006-0000-4000-8000-000000000009;INV466;No goods receipt against the order;Nothing records that the fuel was received;RESOLUTION;HARD_ERROR;;false;;true;;2025-01-01;;true;2026-04-15T08:00:00Z;admin@airline.com;2026-04-15T08:00:00Z;admin@airline.com
21a00006-0000-4000-8000-000000000010;INV451;Invoiced quantity differs from goods receipt;Laddered against TOL-INV-QTY;QUANTITY;SOFT_ERROR;TOL-INV-QTY;true;InvoiceVerify;true;;2025-01-01;;true;2026-04-15T08:00:00Z;admin@airline.com;2026-04-15T08:00:00Z;admin@airline.com
21a00006-0000-4000-8000-000000000011;INV467;Invoiced quantity exceeds the order;More was invoiced than was ever ordered;QUANTITY;SOFT_ERROR;;true;InvoiceVerify;true;;2025-01-01;;true;2026-04-15T08:00:00Z;admin@airline.com;2026-04-15T08:00:00Z;admin@airline.com
21a00006-0000-4000-8000-000000000012;INV468;Unit of measure mismatch;The line and the goods receipt are in different units;QUANTITY;HARD_ERROR;;false;;true;;2025-01-01;;true;2026-04-15T08:00:00Z;admin@airline.com;2026-04-15T08:00:00Z;admin@airline.com
21a00006-0000-4000-8000-000000000013;INV456;Quantity zero or negative;A line quantity that is not positive. INV456 permits negative for a defuel;QUANTITY;HARD_ERROR;;false;;true;;2025-01-01;;true;2026-04-15T08:00:00Z;admin@airline.com;2026-04-15T08:00:00Z;admin@airline.com
21a00006-0000-4000-8000-000000000014;INV452;Unit price differs from the order;Laddered against TOL-INV-PRICE;PRICE;SOFT_ERROR;TOL-INV-PRICE;true;InvoiceVerify;true;;2025-01-01;;true;2026-04-15T08:00:00Z;admin@airline.com;2026-04-15T08:00:00Z;admin@airline.com
21a00006-0000-4000-8000-000000000015;INV469;Line value does not equal quantity times price;The arithmetic on the line does not hold;PRICE;HARD_ERROR;;false;;true;;2025-01-01;;true;2026-04-15T08:00:00Z;admin@airline.com;2026-04-15T08:00:00Z;admin@airline.com
21a00006-0000-4000-8000-000000000016;INV454;Header total differs from the sum of lines;The stated total disagrees with the derived one. The derived figure governs;PRICE;HARD_ERROR;;false;;true;;2025-01-01;;true;2026-04-15T08:00:00Z;admin@airline.com;2026-04-15T08:00:00Z;admin@airline.com
21a00006-0000-4000-8000-000000000017;INV470;Price is PROVISIONAL, comparison suspended;A proxy price cannot be compared to a contract that has not resolved;PRICE;WARNING;;false;;true;;2025-01-01;;true;2026-04-15T08:00:00Z;admin@airline.com;2026-04-15T08:00:00Z;admin@airline.com
21a00006-0000-4000-8000-000000000018;INV471;A charge with no contract component;The line names none of the components the contract carries;PRICE;SOFT_ERROR;;true;InvoiceVerify;true;;2025-01-01;;true;2026-04-15T08:00:00Z;admin@airline.com;2026-04-15T08:00:00Z;admin@airline.com
21a00006-0000-4000-8000-000000000019;INV472;A contract component absent from the invoice;The contract carries a component the line does not name;PRICE;WARNING;;false;;true;;2025-01-01;;true;2026-04-15T08:00:00Z;admin@airline.com;2026-04-15T08:00:00Z;admin@airline.com
21a00006-0000-4000-8000-000000000020;INV473;Same invoice number, same vendor;This document number is already captured for this supplier;DUPLICATE;HARD_ERROR;;false;;true;;2025-01-01;;true;2026-04-15T08:00:00Z;admin@airline.com;2026-04-15T08:00:00Z;admin@airline.com
21a00006-0000-4000-8000-000000000021;INV455;Same ticket invoiced twice;A ticket is payable once, across all billing periods;DUPLICATE;HARD_ERROR;;false;;true;;2025-01-01;;true;2026-04-15T08:00:00Z;admin@airline.com;2026-04-15T08:00:00Z;admin@airline.com
21a00006-0000-4000-8000-000000000022;INV474;Same order and GR combination invoiced twice;One goods receipt against one order, billed more than once;DUPLICATE;HARD_ERROR;;false;;true;;2025-01-01;;true;2026-04-15T08:00:00Z;admin@airline.com;2026-04-15T08:00:00Z;admin@airline.com
